title,author,price,price (including used books),pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link,complete_link
"Testing Python: Applying Unit Testing, TDD, BDD and Acceptance Testing",[ David Sale],27,27,201,4.1,30,53%,19%,13%,9%,5%,,,English,Wiley,,/Testing-Python-Applying-Unit-Acceptance-ebook/dp/B00LJV2GXI/ref=sr_1_103?keywords=python&qid=1671164900&sr=8-103,https://www.amazon.com/Testing-Python-Applying-Unit-Acceptance-ebook/dp/B00LJV2GXI/ref=sr_1_103?keywords=python&qid=1671164900&sr=8-103
"Python Workbook: Learn Python in one day and Learn It Well (Workbook with Questions, Solutions and Projects) (Learn Coding Fast Workbook 1)",,,,149,4.4,807,67%,19%,9%,2%,3%,,,English,,,/Python-Workbook-Questions-Solutions-Projects-ebook/dp/B07WH99L1J/ref=sr_1_102?keywords=python&qid=1671164900&sr=8-102,https://www.amazon.com/Python-Workbook-Questions-Solutions-Projects-ebook/dp/B07WH99L1J/ref=sr_1_102?keywords=python&qid=1671164900&sr=8-102
An Introduction to Python Programming for Scientists and Engineers,"[ Johnny Wei-Bing Lin, Hannah Aizenman, et al.]",78.41, 66.20 - 78.41 ,766,1,1,100%,,,,,7.5 x 1.25 x 9.5 inches,3.55 pounds,English,Cambridge University Press,978-1108701129,/Introduction-Python-Programming-Scientists-Engineers/dp/1108701124/ref=sr_1_100?keywords=python&qid=1671164900&sr=8-100,https://www.amazon.com/Introduction-Python-Programming-Scientists-Engineers/dp/1108701124/ref=sr_1_100?keywords=python&qid=1671164900&sr=8-100
Impractical Python Projects: Playful Programming Activities to Make You Smarter,[ Lee Vaughan],18.99,18.99,424,4.7,297,80%,13%,6%,1%,,7.06 x 0.96 x 9.25 inches,1.75 pounds,English,No Starch Press, ,/Impractical-Python-Projects-Programming-Activities/dp/159327890X/ref=sr_1_105?keywords=python&qid=1671164900&sr=8-105,https://www.amazon.com/Impractical-Python-Projects-Programming-Activities/dp/159327890X/ref=sr_1_105?keywords=python&qid=1671164900&sr=8-105
Monty Python's Meaning of Life,,,,,,,,,,,,,,,,,/Monty-Pythons-Meaning-Graham-Chapman/dp/B000I9YLYO/ref=sr_1_94?keywords=python&qid=1671164900&sr=8-94,https://www.amazon.com/Monty-Pythons-Meaning-Graham-Chapman/dp/B000I9YLYO/ref=sr_1_94?keywords=python&qid=1671164900&sr=8-94
Essentials of Compilation: An Incremental Approach in Python,[ Jeremy G. Siek],30.99,30.99,240,,,,,,,,,,English,The MIT Press ,,/Essentials-Compilation-Incremental-Approach-Python-ebook/dp/B0BL6W9DRW/ref=sr_1_98?keywords=python&qid=1671164900&sr=8-98,https://www.amazon.com/Essentials-Compilation-Incremental-Approach-Python-ebook/dp/B0BL6W9DRW/ref=sr_1_98?keywords=python&qid=1671164900&sr=8-98
"Python Programming Exercises, Gently Explained",[ Al Sweigart],6.99,6.99,160,5,3,100%,,,,,7 x 0.37 x 10 inches,13.1 ounces,English,Independently published ,979-8355387686,/Python-Programming-Exercises-Gently-Explained/dp/B0BGNPC8H1/ref=sr_1_97?keywords=python&qid=1671164900&sr=8-97,https://www.amazon.com/Python-Programming-Exercises-Gently-Explained/dp/B0BGNPC8H1/ref=sr_1_97?keywords=python&qid=1671164900&sr=8-97
"Python for Absolute Beginners: Rocket through the basics in an afternoon (AI, Data Science, Python & Statistics for Beginners Book 4)",,,,167,4.3,10,48%,30%,22%,,,,,English,,,/Python-Absolute-Beginners-through-afternoon-ebook/dp/B098M4Z1G8/ref=sr_1_96?keywords=python&qid=1671164900&sr=8-96,https://www.amazon.com/Python-Absolute-Beginners-through-afternoon-ebook/dp/B098M4Z1G8/ref=sr_1_96?keywords=python&qid=1671164900&sr=8-96
Teach Yourself VISUALLY Python (Teach Yourself VISUALLY (Tech)),"[ Ted Hart-Davis,  and , Guy Hart-Davis]",22.3,22.3,304,3,1,100%,,,,,7.3 x 0.9 x 9.2 inches,1.35 pounds,English,Wiley,978-1119860259,/Teach-Yourself-VISUALLY-Python-Tech/dp/1119860253/ref=sr_1_95?keywords=python&qid=1671164900&sr=8-95,https://www.amazon.com/Teach-Yourself-VISUALLY-Python-Tech/dp/1119860253/ref=sr_1_95?keywords=python&qid=1671164900&sr=8-95
Monty Python's Flying Circus: The Complete Series [DVD],,31.49,31.49,,4.8,621,88%,9%,1%,1%,,7.52 x 5.47 x 1.1 inches; 8.47 Ounces,,,,,/Monty-Pythons-Flying-Circus-Complete/dp/B0B9T3GZ5D/ref=sr_1_92?keywords=python&qid=1671164900&sr=8-92,https://www.amazon.com/Monty-Pythons-Flying-Circus-Complete/dp/B0B9T3GZ5D/ref=sr_1_92?keywords=python&qid=1671164900&sr=8-92
"The Python Workshop: Write Python code to solve challenging real-world problems, 2nd Edition","[ Corey Wade, Mario Corchero Jimenez, et al.]",60.03, 49.99 - 60.03 ,Develop web  and programs with Python tools and packages,,,,,,,,7.5 x 1.41 x 9.25 inches,2.24 pounds,English,Packt Publishing,978-1804610619,/Python-Workshop-challenging-real-world-problems/dp/1804610615/ref=sr_1_90?keywords=python&qid=1671164900&sr=8-90,https://www.amazon.com/Python-Workshop-challenging-real-world-problems/dp/1804610615/ref=sr_1_90?keywords=python&qid=1671164900&sr=8-90
"Hands-On Python INTERMEDIATE: with 50 Exercises, 2 Projects, 2 Assignments & Final Exam",,,,603,4.4,18,74%,18%,8%,,,,,English,,,/Hands-Python-INTERMEDIATE-Exercises-Assignments-ebook/dp/B09NMCVWXT/ref=sr_1_89?keywords=python&qid=1671164900&sr=8-89,https://www.amazon.com/Hands-Python-INTERMEDIATE-Exercises-Assignments-ebook/dp/B09NMCVWXT/ref=sr_1_89?keywords=python&qid=1671164900&sr=8-89
"Python One-Liners: Write Concise, Eloquent Python Like a Professional",[ Christian Mayer],39.55, 36.70 - 39.55 ,216,4.8,126,82%,14%,2%,2%,,7.06 x 0.53 x 9.25 inches,14.4 ounces,English,No Starch Press,978-1718500501,/Python-One-Liners-Concise-Eloquent-Professional/dp/1718500505/ref=sr_1_91?keywords=python&qid=1671164900&sr=8-91,https://www.amazon.com/Python-One-Liners-Concise-Eloquent-Professional/dp/1718500505/ref=sr_1_91?keywords=python&qid=1671164900&sr=8-91
Python 2,,,,,,,,,,,,,,,,,/Python-2-William-Zabka/dp/B0B8LRPWND/ref=sr_1_85?keywords=python&qid=1671164900&sr=8-85,https://www.amazon.com/Python-2-William-Zabka/dp/B0B8LRPWND/ref=sr_1_85?keywords=python&qid=1671164900&sr=8-85
Python for Cybersecurity: Using Python for Cyber Offense and Defense,[ Howard E. Poston III],23.14,23.14,240,4.7,12,89%,11%,,,,7.38 x 0.55 x 9.25 inches,14.4 ounces,English,Wiley,978-1119850649,/Python-Cybersecurity-Using-Offense-Defense/dp/1119850649/ref=sr_1_88?keywords=python&qid=1671164900&sr=8-88,https://www.amazon.com/Python-Cybersecurity-Using-Offense-Defense/dp/1119850649/ref=sr_1_88?keywords=python&qid=1671164900&sr=8-88
Head First Python: A Brain-Friendly Guide,[ Paul Barry],59.99,59.99,600,,,,,,,,,1.11 pounds,English,O'Reilly Media,978-1492051299,/Head-First-Python-Brain-Friendly-Guide/dp/1492051292/ref=sr_1_86?keywords=python&qid=1671164900&sr=8-86,https://www.amazon.com/Head-First-Python-Brain-Friendly-Guide/dp/1492051292/ref=sr_1_86?keywords=python&qid=1671164900&sr=8-86
"Python Cookbook, Third Edition",,51.48, 39.49 - 51.48 ,704,4.6,579,78%,14%,4%,2%,2%,7 x 1.41 x 9.19 inches,2.5 pounds,English,O'Reilly Media,-21%,/Python-Cookbook-Third-David-Beazley/dp/1449340377/ref=sr_1_93?keywords=python&qid=1671164900&sr=8-93,https://www.amazon.com/Python-Cookbook-Third-David-Beazley/dp/1449340377/ref=sr_1_93?keywords=python&qid=1671164900&sr=8-93
Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code (Zed Shaw's Hard Way Series),,29.99, 25.42 - 29.99 ,320,4.4,932,69%,16%,7%,3%,4%,7 x 0.73 x 9.13 inches,1.15 pounds,English,Addison-Wesley Professional,978-0134692883,/Learn-Python-Hard-Way-Introduction/dp/0134692888/ref=sr_1_87?keywords=python&qid=1671164900&sr=8-87,https://www.amazon.com/Learn-Python-Hard-Way-Introduction/dp/0134692888/ref=sr_1_87?keywords=python&qid=1671164900&sr=8-87
Data Visualization in Python,[ Daniel Nelson],58.11,58.11,345,3.3,12,55%,11%,34%,,,8.5 x 0.81 x 11 inches,2.05 pounds,English,Independently published , ,/Data-Visualization-Python-Daniel-Nelson/dp/B08TZ9LWWX/ref=sr_1_156?keywords=python&qid=1671164909&sr=8-156,https://www.amazon.com/Data-Visualization-Python-Daniel-Nelson/dp/B08TZ9LWWX/ref=sr_1_156?keywords=python&qid=1671164909&sr=8-156
"Quantitative Finance with Python: A Practical Guide to Investment Management, Trading, and Financial Engineering (Chapman and Hall/CRC Financial Mathematics Series)",,92.7,92.7,659,4.3,5,54%,23%,23%,,,7.5 x 1.5 x 10.5 inches,3.7 pounds,English,Chapman and Hall/CRC,978-1032014432,/Quantitative-Finance-Python-Engineering-Mathematics/dp/1032014431/ref=sr_1_154?keywords=python&qid=1671164909&sr=8-154,https://www.amazon.com/Quantitative-Finance-Python-Engineering-Mathematics/dp/1032014431/ref=sr_1_154?keywords=python&qid=1671164909&sr=8-154
Python for DevOps: Learn Ruthlessly Effective Automation,"[ Noah Gift, Kennedy Behrman, et al.]",35.99,35.99,506,4.5,236,74%,13%,8%,3%,2%,7.01 x 1.02 x 9.17 inches,1.76 pounds,English,O'Reilly Media, ,/Python-DevOps-Ruthlessly-Effective-Automation/dp/149205769X/ref=sr_1_80?keywords=python&qid=1671164900&sr=8-80,https://www.amazon.com/Python-DevOps-Ruthlessly-Effective-Automation/dp/149205769X/ref=sr_1_80?keywords=python&qid=1671164900&sr=8-80
Learn Coding Basics in Hours with Python,"[ The Tech Academy, Jack C. Stanley, et al.]",3.99,3.99,107,4.5,326,70%,18%,7%,4%,1%,8.5 x 0.25 x 11 inches,10.5 ounces,English,Jack Stanley ,978-0997326475,/Learn-Coding-Basics-Hours-Python/dp/0997326476/ref=sr_1_151?keywords=python&qid=1671164909&sr=8-151,https://www.amazon.com/Learn-Coding-Basics-Hours-Python/dp/0997326476/ref=sr_1_151?keywords=python&qid=1671164909&sr=8-151
Metaprogramming with Python: A programmer's guide to writing reusable code to build smarter applications,[ Sulekha AloorRavi],44.99,44.99,402,,,,,,,,7.5 x 0.91 x 9.25 inches,1.52 pounds,English,Packt Publishing , ,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0698408RVLND9BH9ZVC&qualifier=1671164900&id=1179176751066652&widgetName=sp_mtf&url=%2FMetaprogramming-Python-programmers-reusable-applications%2Fdp%2F1838554653%2Fref%3Dsr_1_83_sspa%3Fkeywords%3Dpython%26qid%3D1671164900%26sr%3D8-83-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0698408RVLND9BH9ZVC&qualifier=1671164900&id=1179176751066652&widgetName=sp_mtf&url=%2FMetaprogramming-Python-programmers-reusable-applications%2Fdp%2F1838554653%2Fref%3Dsr_1_83_sspa%3Fkeywords%3Dpython%26qid%3D1671164900%26sr%3D8-83-spons%26psc%3D1
Deep Learning with Python,"[ Francois Chollet, Mark Thomas, et al.]",,,,4.5,"1,374",76%,13%,4%,2%,5%,,,,,,/Deep-Learning-with-Python-audiobook/dp/B07H5RKKB6/ref=sr_1_150?keywords=python&qid=1671164909&sr=8-150,https://www.amazon.com/Deep-Learning-with-Python-audiobook/dp/B07H5RKKB6/ref=sr_1_150?keywords=python&qid=1671164909&sr=8-150
Learn Python Programming: A complete Guide to Learning Python basics and it’s Practical Applications in recent Development Technologies,,13.75,13.75,174,4.9,59,91%,9%,,,,6 x 0.4 x 9 inches,11.4 ounces,English,Independently published ,75,/Learn-Python-Programming-Applications-Technologies/dp/B0BKML43ZJ/ref=sr_1_149?keywords=python&qid=1671164909&sr=8-149,https://www.amazon.com/Learn-Python-Programming-Applications-Technologies/dp/B0BKML43ZJ/ref=sr_1_149?keywords=python&qid=1671164909&sr=8-149
"Django 4 By Example: Build powerful and reliable Python web applications from scratch, 4th Edition","[ Antonio Mele,  and , Bob Belderbos]",49.99,49.99,764,4.7,28,80%,12%,9%,,,7.5 x 1.73 x 9.25 inches,2.84 pounds,English,Packt Publishing,978-1801813051,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A07212203VUTETWXTMDAM&qualifier=1671164900&id=1179176751066652&widgetName=sp_mtf&url=%2FDjango-Example-powerful-reliable-applications%2Fdp%2F1801813051%2Fref%3Dsr_1_81_sspa%3Fkeywords%3Dpython%26qid%3D1671164900%26sr%3D8-81-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A07212203VUTETWXTMDAM&qualifier=1671164900&id=1179176751066652&widgetName=sp_mtf&url=%2FDjango-Example-powerful-reliable-applications%2Fdp%2F1801813051%2Fref%3Dsr_1_81_sspa%3Fkeywords%3Dpython%26qid%3D1671164900%26sr%3D8-81-spons%26psc%3D1
Artificial Intelligence Programming with Python: From Zero to Hero,[ Perry Xiao],28.49,28.49,720,5,6,100%,,,,,7.38 x 1.63 x 9.25 inches,2.55 pounds,English,Wiley,978-1119820864,/Artificial-Intelligence-Programming-Python-Zero/dp/1119820863/ref=sr_1_147?keywords=python&qid=1671164909&sr=8-147,https://www.amazon.com/Artificial-Intelligence-Programming-Python-Zero/dp/1119820863/ref=sr_1_147?keywords=python&qid=1671164909&sr=8-147
Monty Python In The Beginning,,,,,,,,,,,,,,,,,/Monty-Python-Beginning-Unavailable/dp/B01HF92EV6/ref=sr_1_142?keywords=python&qid=1671164909&sr=8-142,https://www.amazon.com/Monty-Python-Beginning-Unavailable/dp/B01HF92EV6/ref=sr_1_142?keywords=python&qid=1671164909&sr=8-142
High Performance Python: Practical Performant Programming for Humans,"[ Micha Gorelick,  and , Ian Ozsvald]",28.49,28.49,468,4.7,146,81%,11%,7%,1%,,6.9 x 1.4 x 9.1 inches,2.21 pounds,English,O'Reilly Media,978-1492055020,/High-Performance-Python-Performant-Programming/dp/1492055026/ref=sr_1_146?keywords=python&qid=1671164909&sr=8-146,https://www.amazon.com/High-Performance-Python-Performant-Programming/dp/1492055026/ref=sr_1_146?keywords=python&qid=1671164909&sr=8-146
Murach's Python Programming (2nd Edition),"[ Joel Murach,  and , Michael Urban]",48.78, 47.00 - 48.78 ,564,4.6,93,81%,7%,6%,2%,4%,8.25 x 1.25 x 10.25 inches,2.5 pounds,English,Mike Murach & Associates,978-1943872749,/Murachs-Python-Programming-Joel-Murach/dp/1943872740/ref=sr_1_148?keywords=python&qid=1671164909&sr=8-148,https://www.amazon.com/Murachs-Python-Programming-Joel-Murach/dp/1943872740/ref=sr_1_148?keywords=python&qid=1671164909&sr=8-148
"Advanced Data Analytics Using Python: With Architectural Patterns, Text and Image Classification, and Optimization Techniques","[ Sayan Mukhopadhyay,  and , Pratip Samanta]",29.99, 12.00 - 29.99 ,269,,,,,,,,,,English,Apress,Pratip Samanta,/Advanced-Data-Analytics-Using-Python-ebook/dp/B0BNF5LF1K/ref=sr_1_144?keywords=python&qid=1671164909&sr=8-144,https://www.amazon.com/Advanced-Data-Analytics-Using-Python-ebook/dp/B0BNF5LF1K/ref=sr_1_144?keywords=python&qid=1671164909&sr=8-144
Practical Ethical Hacking with Python: Develop your own ethical hacking tools using Python,[ Tony Snake],,,289,,,,,,,,,,English,,,/Practical-Ethical-Hacking-Python-Develop-ebook/dp/B0BMYYGXL7/ref=sr_1_145?keywords=python&qid=1671164909&sr=8-145,https://www.amazon.com/Practical-Ethical-Hacking-Python-Develop-ebook/dp/B0BMYYGXL7/ref=sr_1_145?keywords=python&qid=1671164909&sr=8-145
Python Crash Course,[ Chibudom Obasi],,,41,,,,,,,,,,English,,,/Python-Crash-Course-Chibudom-Obasi-ebook/dp/B0BPMR2WV9/ref=sr_1_143?keywords=python&qid=1671164909&sr=8-143,https://www.amazon.com/Python-Crash-Course-Chibudom-Obasi-ebook/dp/B0BPMR2WV9/ref=sr_1_143?keywords=python&qid=1671164909&sr=8-143
Python for Engineers and Scientists: Concepts and Applications,"[ Rakesh Nayak,  and , Nishu Gupta]",90.49,90.49,,,,,,,,,,,English,CRC Press,,/Python-Engineers-Scientists-Concepts-Applications-ebook/dp/B0BKQ91BM7/ref=sr_1_139?keywords=python&qid=1671164909&sr=8-139,https://www.amazon.com/Python-Engineers-Scientists-Concepts-Applications-ebook/dp/B0BKQ91BM7/ref=sr_1_139?keywords=python&qid=1671164909&sr=8-139
Hands-On Financial Trading with Python: A practical guide to using Zipline and other Python libraries for backtesting trading strategies,"[ Jiri Pik,  and , Sourav Ghosh]",46.99,46.99,360,4.4,25,67%,12%,13%,7%,,7.5 x 0.82 x 9.25 inches,1.36 pounds,English,Packt Publishing , ,/Hands-Financial-Trading-Python-backtesting/dp/1838982884/ref=sr_1_140?keywords=python&qid=1671164909&sr=8-140,https://www.amazon.com/Hands-Financial-Trading-Python-backtesting/dp/1838982884/ref=sr_1_140?keywords=python&qid=1671164909&sr=8-140
"Serious Python: Black-Belt Advice on Deployment, Scalability, Testing, and More",[ Julien Danjou],29.24, 22.97 - 29.24 ,240,4.7,336,79%,13%,5%,1%,1%,7.06 x 0.57 x 9.25 inches,1.15 pounds,English,No Starch Press,978-1593278786,/Serious-Python-Black-Belt-Deployment-Scalability/dp/1593278780/ref=sr_1_141?keywords=python&qid=1671164909&sr=8-141,https://www.amazon.com/Serious-Python-Black-Belt-Deployment-Scalability/dp/1593278780/ref=sr_1_141?keywords=python&qid=1671164909&sr=8-141
"Ball Pythons as Pets - Your Complete Owners Guide: Ball Python Breeding, Caring, Where To Buy, Types, Temperament, Cost, Health, Handling, Husbandry, Diet, And Much More!",[ Jacqueline Silverdale],11.97,11.97,56,4.3,210,69%,11%,10%,4%,6%,5.98 x 0.15 x 9.02 inches,4.3 ounces,English,CreateSpace Independent Publishing Platform ,978-1979824781,/Ball-Pythons-Pets-Temperament-Husbandry/dp/1979824789/ref=sr_1_137?keywords=python&qid=1671164909&sr=8-137,https://www.amazon.com/Ball-Pythons-Pets-Temperament-Husbandry/dp/1979824789/ref=sr_1_137?keywords=python&qid=1671164909&sr=8-137
Machine Learning for Financial Risk Management with Python: Algorithms for Modeling Risk,[ Abdullah Karasan],49.99,49.99,334,3.8,8,58%,26%,16%,,,7 x 0.5 x 9.25 inches,1.17 pounds,English,O'Reilly Media,978-1492085256,/Machine-Learning-Financial-Management-Python/dp/1492085251/ref=sr_1_136?keywords=python&qid=1671164909&sr=8-136,https://www.amazon.com/Machine-Learning-Financial-Management-Python/dp/1492085251/ref=sr_1_136?keywords=python&qid=1671164909&sr=8-136
Begin to Code with Python,[ Rob Miles],27.32,27.32,528,4.4,64,64%,22%,8%,2%,4%,7.4 x 1.15 x 8.95 inches,1.85 pounds,English,Microsoft Press, ,/Begin-Code-Python-Rob-Miles/dp/1509304525/ref=sr_1_135?keywords=python&qid=1671164909&sr=8-135,https://www.amazon.com/Begin-Code-Python-Rob-Miles/dp/1509304525/ref=sr_1_135?keywords=python&qid=1671164909&sr=8-135
Python Mini Reference 2022: A Quick Guide to the Modern Python Programming Language for Busy Coders (A Hitchhiker's Guide to the Modern Programming Languages Book 3),,,,206,5,1,100%,,,,,,,English,Coding Books Press ,,/Python-Mini-Reference-2022-Programming-ebook/dp/B0B2QJD6P8/ref=sr_1_133?keywords=python&qid=1671164909&sr=8-133,https://www.amazon.com/Python-Mini-Reference-2022-Programming-ebook/dp/B0B2QJD6P8/ref=sr_1_133?keywords=python&qid=1671164909&sr=8-133
Python Programming in Context,"[ Bradley N. Miller, David L. Ranum, et al.]",71.75, 24.43 - 71.75 ,498,4.4,48,70%,14%,9%,7%,,7.3 x 0.8 x 9.1 inches,1.56 pounds,English,Jones & Bartlett Learning, ,/Python-Programming-Context-Bradley-Miller/dp/1284175553/ref=sr_1_134?keywords=python&qid=1671164909&sr=8-134,https://www.amazon.com/Python-Programming-Context-Bradley-Miller/dp/1284175553/ref=sr_1_134?keywords=python&qid=1671164909&sr=8-134
Python Scripting for ArcGIS Pro,[ Paul A. Zandbergen],50.99,50.99,412,4.5,141,71%,17%,8%,3%,1%,8 x 1 x 9.75 inches,2.85 pounds,English,Esri Press,978-1589484993,/Python-Scripting-ArcGIS-Paul-Zandbergen/dp/1589484991/ref=sr_1_204?keywords=python&qid=1671164918&sr=8-204,https://www.amazon.com/Python-Scripting-ArcGIS-Paul-Zandbergen/dp/1589484991/ref=sr_1_204?keywords=python&qid=1671164918&sr=8-204
The Ultimate Python Beginner's Workbook: A Simple Guide To Learn Python Coding Quickly | Become a Better Python Programmer with Practical Exercises and Hands-on Project,[ Ashraf Marks],,,165,,,,,,,,,,English,,,/Ultimate-Python-Beginners-Workbook-Hands-ebook/dp/B0BNW1HYP4/ref=sr_1_203?keywords=python&qid=1671164918&sr=8-203,https://www.amazon.com/Ultimate-Python-Beginners-Workbook-Hands-ebook/dp/B0BNW1HYP4/ref=sr_1_203?keywords=python&qid=1671164918&sr=8-203
The Spirit of Python: Exposing Satan’s Plan to Squeeze the Life Out of You,[ Jentezen Franklin],16.99,16.99,256,4.8,905,88%,8%,3%,1%,1%,6 x 0.64 x 9 inches,11.2 ounces,English,Charisma House,49,/Spirit-Python-Exposing-Satan%C2%92s-Squeeze/dp/1621362205/ref=sr_1_186?keywords=python&qid=1671164918&sr=8-186,https://www.amazon.com/Spirit-Python-Exposing-Satan%C2%92s-Squeeze/dp/1621362205/ref=sr_1_186?keywords=python&qid=1671164918&sr=8-186
Mission Python: Code a Space Adventure Game!,[ Sean McManus],29.95,29.95,280,4.5,159,70%,19%,6%,3%,3%,7 x 0.76 x 9.25 inches,1.4 pounds,English,No Starch Press ,978-1593278571,/Mission-Python-Code-Space-Adventure/dp/1593278578/ref=sr_1_202?keywords=python&qid=1671164918&sr=8-202,https://www.amazon.com/Mission-Python-Code-Space-Adventure/dp/1593278578/ref=sr_1_202?keywords=python&qid=1671164918&sr=8-202
"Python 3 Standard Library by Example, The (Developer's Library)",,59.99, 51.43 - 59.99 ,1456,4.5,120,74%,14%,6%,4%,3%,7.1 x 2.15 x 9.1 inches,3.95 pounds,English,Addison-Wesley Professional,978-0134291055,/Python-Standard-Library-Example-Developers/dp/0134291050/ref=sr_1_201?keywords=python&qid=1671164918&sr=8-201,https://www.amazon.com/Python-Standard-Library-Example-Developers/dp/0134291050/ref=sr_1_201?keywords=python&qid=1671164918&sr=8-201
The Roots Of Monty Python,,,,,,,,,,,,,,,,,/Roots-Monty-Python-Tom-Binns/dp/B07KNLR34Q/ref=sr_1_197?keywords=python&qid=1671164918&sr=8-197,https://www.amazon.com/Roots-Monty-Python-Tom-Binns/dp/B07KNLR34Q/ref=sr_1_197?keywords=python&qid=1671164918&sr=8-197
"Python Scripting for ArcGIS (Python Scripting, 1)",[ Paul A. Zandbergen],59.77, 11.48 - 59.77 ,358,4.5,185,70%,16%,9%,2%,4%,10 x 1 x 12 inches,12 ounces,English,Esri Press,978-1589483712,/Python-Scripting-ArcGIS-Paul-Zandbergen/dp/1589483715/ref=sr_1_200?keywords=python&qid=1671164918&sr=8-200,https://www.amazon.com/Python-Scripting-ArcGIS-Paul-Zandbergen/dp/1589483715/ref=sr_1_200?keywords=python&qid=1671164918&sr=8-200
"Advanced Python Programming: Accelerate your Python programs using proven techniques and design patterns, 2nd Edition",[ Quan Nguyen],49.99,49.99,606,4.3,14,67%,10%,11%,11%,,7.5 x 1.37 x 9.25 inches,2.27 pounds,English,Packt Publishing,978-1801814010,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A02009913LQG0K1XVSNME&qualifier=1671164909&id=1430258531038690&widgetName=sp_mtf&url=%2FAdvanced-Python-Programming-Accelerate-techniques%2Fdp%2F1801814015%2Fref%3Dsr_1_130_sspa%3Fkeywords%3Dpython%26qid%3D1671164909%26sr%3D8-130-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A02009913LQG0K1XVSNME&qualifier=1671164909&id=1430258531038690&widgetName=sp_mtf&url=%2FAdvanced-Python-Programming-Accelerate-techniques%2Fdp%2F1801814015%2Fref%3Dsr_1_130_sspa%3Fkeywords%3Dpython%26qid%3D1671164909%26sr%3D8-130-spons%26psc%3D1
100 Days of Code Learning Journal: Notebook for Python programming beginners/learners. Gift for programmer. Progress tracker. Game /Coding Projects.,[ Corinth Ruiz],7,7,108,5,1,100%,,,,,8.5 x 0.25 x 11 inches,12 ounces,English,Independently published ,979-8775112295,/100-Days-Code-Learning-Journal/dp/B09MC476TB/ref=sr_1_198?keywords=python&qid=1671164918&sr=8-198,https://www.amazon.com/100-Days-Code-Learning-Journal/dp/B09MC476TB/ref=sr_1_198?keywords=python&qid=1671164918&sr=8-198
"Learn Python Programming: An in-depth introduction to the fundamentals of Python, 3rd Edition","[ Fabrizio Romano,  and , Heinrich Kruger]",37.11,37.11,552,4.3,48,55%,29%,9%,4%,4%,7.5 x 1.25 x 9.25 inches,2.07 pounds,English,Packt Publishing,978-1801815093,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A0895749UWG6LYGF8LML&qualifier=1671164909&id=1430258531038690&widgetName=sp_mtf&url=%2FLearn-Python-Programming-depth-introduction%2Fdp%2F1801815097%2Fref%3Dsr_1_129_sspa%3Fkeywords%3Dpython%26qid%3D1671164909%26sr%3D8-129-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A0895749UWG6LYGF8LML&qualifier=1671164909&id=1430258531038690&widgetName=sp_mtf&url=%2FLearn-Python-Programming-depth-introduction%2Fdp%2F1801815097%2Fref%3Dsr_1_129_sspa%3Fkeywords%3Dpython%26qid%3D1671164909%26sr%3D8-129-spons%26psc%3D1
How to Program: Computer Science Concepts and Python Exercises,,,,,,,,,,,,,,,,,/Top-Down-Design-Data-Analysis-Program/dp/B01M687H4A/ref=sr_1_192?keywords=python&qid=1671164918&sr=8-192,https://www.amazon.com/Top-Down-Design-Data-Analysis-Program/dp/B01M687H4A/ref=sr_1_192?keywords=python&qid=1671164918&sr=8-192
Python: Programming Basics for Absolute Beginners,,,,103,4,187,52%,19%,14%,6%,9%,,,English,Nathan Clark ,,/Python-Programming-Beginners-Step-Step-ebook/dp/B07BWT2MR5/ref=sr_1_194?keywords=python&qid=1671164918&sr=8-194,https://www.amazon.com/Python-Programming-Beginners-Step-Step-ebook/dp/B07BWT2MR5/ref=sr_1_194?keywords=python&qid=1671164918&sr=8-194
Beginner's Guide to Streamlit with Python: Build Web-Based Data and Machine Learning Applications,[ Sujay Raghavendra],39.45,39.45,224,,,,,,,,,1.11 pounds,English,Apress,978-1484289822,/Beginners-Guide-Streamlit-Python-Applications/dp/148428982X/ref=sr_1_195?keywords=python&qid=1671164918&sr=8-195,https://www.amazon.com/Beginners-Guide-Streamlit-Python-Applications/dp/148428982X/ref=sr_1_195?keywords=python&qid=1671164918&sr=8-195
